EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
561188.049,-46796.088,547608.165,-32494.250,-885.015,-55016.653,1113.649,4234.864,-0.114,0.981,-0.142,0.275,2.472,0.214,60.000,117.000,1.000
554611.515,-46813.544,540883.000,-32897.072,-1133.927,-57008.874,665.433,3732.598,-0.116,0.981,-0.144,0.275,2.502,0.214,60.000,118.000,1.000
548130.206,-46832.010,534277.859,-32823.737,-1620.703,-59084.605,278.286,3262.209,-0.115,0.981,-0.144,0.244,2.472,0.305,60.000,119.000,1.000
541530.237,-46690.561,527789.065,-32365.198,-2191.735,-61189.334,-148.799,2819.075,-0.116,0.981,-0.143,0.336,2.502,0.366,60.000,120.000,1.000
534829.067,-46448.997,521319.192,-32081.460,-2591.359,-63184.725,-632.254,2385.638,-0.114,0.983,-0.143,0.244,2.502,0.336,60.000,121.000,1.000
528219.618,-46281.813,514813.629,-32226.600,-2797.795,-65033.835,-1096.728,1954.720,-0.112,0.983,-0.145,0.244,2.563,0.427,60.000,122.000,1.000
521801.861,-46242.361,508321.260,-32475.725,-3011.190,-66830.593,-1481.119,1537.825,-0.112,0.984,-0.143,0.214,2.563,0.427,60.000,123.000,1.000
515471.576,-46213.608,501914.992,-32421.673,-3368.909,-68661.401,-1811.189,1147.907,-0.114,0.982,-0.143,0.214,2.441,0.488,60.000,124.000,1.000
509080.692,-46079.658,495595.796,-32094.505,-3790.738,-70505.748,-2156.484,780.727,-0.115,0.984,-0.140,0.183,2.472,0.488,60.000,125.000,1.000
502625.710,-45869.457,489303.730,-31850.620,-4119.352,-72285.929,-2541.663,420.346,-0.115,0.982,-0.140,0.214,2.441,0.580,60.000,126.000,1.000
496226.514,-45698.150,483002.414,-31878.935,-4324.880,-73969.667,-2924.956,60.387,-0.114,0.982,-0.141,0.153,2.411,0.580,60.000,127.000,1.000
489958.546,-45612.111,476717.810,-32003.438,-4512.847,-75597.169,-3257.984,-288.521,-0.113,0.983,-0.143,0.183,2.380,0.488,60.000,128.000,1.000
483770.085,-45544.654,470493.186,-31966.887,-4770.754,-77216.619,-3543.294,-614.348,-0.114,0.984,-0.142,0.153,2.319,0.519,60.000,129.000,1.000
477567.627,-45416.395,464333.293,-31753.662,-5073.473,-78831.429,-3824.144,-920.467,-0.115,0.985,-0.141,0.092,2.380,0.610,60.000,130.000,1.000
471333.152,-45232.003,458207.573,-31555.775,-5341.179,-80412.985,-4129.731,-1220.974,-0.115,0.986,-0.141,0.031,2.228,0.519,60.000,131.000,1.000
465128.341,-45058.409,452093.667,-31503.610,-5540.827,-81939.611,-4444.777,-1521.953,-0.113,0.984,-0.143,-0.122,2.258,0.519,60.000,132.000,1.000
459006.631,-44934.872,445999.266,-31533.102,-5706.903,-83415.776,-4733.221,-1814.553,-0.112,0.979,-0.141,-0.153,2.197,0.610,60.000,133.000,1.000
452955.502,-44834.447,439944.160,-31505.985,-5887.559,-84857.892,-4981.480,-2088.170,-0.112,0.977,-0.141,-0.092,2.197,0.610,60.000,134.000,1.000
